attack_type,malicious_ratio,envId,envName,formationType,formationName,method,TN,FP,FN,TP,accuracy,precision,recall,f1,fp_rate,fn_rate
random,0.2,3,DenseUrban,0,Horizontal,Static Phase 1,11290,25190,1288,7832,0.419342105263158,0.237175216522318,0.858771929824561,0.371695695505671,0.690515350877193,0.141228070175439
random,0.2,3,DenseUrban,0,Horizontal,Static Phase 1+2,6082,30398,528,8592,0.321798245614035,0.220364195947679,0.942105263157895,0.357181459156101,0.83327850877193,0.0578947368421053
random,0.2,3,DenseUrban,0,Horizontal,SAC Dynamic Phase 1,27816,8664,4679,4441,0.707390350877193,0.338878290728729,0.486951754385965,0.399640044994376,0.2375,0.513048245614035
random,0.2,3,DenseUrban,0,Horizontal,SAC Dynamic Phase 1+2,8887,27593,366,8754,0.386864035087719,0.240845186672903,0.959868421052632,0.385070490685552,0.756387061403509,0.0401315789473684
random,0.2,3,DenseUrban,1,Random-Matrix,Static Phase 1,17321,19159,1220,7900,0.553092105263158,0.291954617687276,0.866228070175439,0.436717432764864,0.525191885964912,0.133771929824561
random,0.2,3,DenseUrban,1,Random-Matrix,Static Phase 1+2,6337,30143,288,8832,0.33265350877193,0.226606799230276,0.968421052631579,0.367273105312403,0.826288377192982,0.0315789473684211
random,0.2,3,DenseUrban,1,Random-Matrix,SAC Dynamic Phase 1,30045,6435,3275,5845,0.787061403508772,0.475977198697068,0.640899122807018,0.546261682242991,0.176398026315789,0.359100877192982
random,0.2,3,DenseUrban,1,Random-Matrix,SAC Dynamic Phase 1+2,18182,18298,328,8792,0.591535087719298,0.324547803617571,0.964035087719298,0.485611709472521,0.501589912280702,0.0359649122807018
random,0.2,3,DenseUrban,2,Circular,Static Phase 1,15165,21315,1337,7783,0.503245614035088,0.267475427864458,0.853399122807018,0.407294991888639,0.584292763157895,0.146600877192982
random,0.2,3,DenseUrban,2,Circular,Static Phase 1+2,6059,30421,579,8541,0.320175438596491,0.219213592731379,0.936513157894737,0.355268083690362,0.83390899122807,0.0634868421052632
random,0.2,3,DenseUrban,2,Circular,SAC Dynamic Phase 1,30794,5686,4394,4726,0.778947368421053,0.453899346907415,0.518201754385965,0.483923817325415,0.155866228070175,0.481798245614035
random,0.2,3,DenseUrban,2,Circular,SAC Dynamic Phase 1+2,11979,24501,1358,7762,0.432916666666667,0.240585190465859,0.85109649122807,0.375129884251988,0.671628289473684,0.14890350877193
random,0.3,0,Perfect-NoNoise,0,Horizontal,Static Phase 1,23698,8222,2300,11380,0.769254385964912,0.580553004795429,0.83187134502924,0.683853133826092,0.257581453634085,0.16812865497076
random,0.3,0,Perfect-NoNoise,0,Horizontal,Static Phase 1+2,17039,14881,906,12774,0.653793859649123,0.46190562285301,0.933771929824561,0.618071851941454,0.466196741854637,0.0662280701754386
random,0.3,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1,22249,9671,432,13248,0.77844298245614,0.578035690911471,0.968421052631579,0.723954206399082,0.30297619047619,0.0315789473684211
random,0.3,0,Perfect-NoNoise,0,Horizontal,SAC Dynamic Phase 1+2,20703,11217,222,13458,0.749144736842105,0.545410334346505,0.983771929824561,0.701759874853344,0.35140977443609,0.0162280701754386
random,0.3,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1,23311,8609,1809,11871,0.771535087719298,0.579638671875,0.867763157894737,0.695023419203747,0.269705513784461,0.132236842105263
random,0.3,0,Perfect-NoNoise,1,Random-Matrix,Static Phase 1+2,22728,9192,238,13442,0.793201754385965,0.593885305292922,0.982602339181287,0.740320537533734,0.28796992481203,0.0173976608187135
random,0.3,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1,22132,9788,291,13389,0.778969298245614,0.577684773698063,0.978728070175439,0.726537699758526,0.306641604010025,0.0212719298245614
random,0.3,0,Perfect-NoNoise,1,Random-Matrix,SAC Dynamic Phase 1+2,22095,9825,73,13607,0.782938596491228,0.580701604643223,0.994663742690059,0.733293813321837,0.307800751879699,0.00533625730994152
random,0.3,0,Perfect-NoNoise,2,Circular,Static Phase 1,23673,8247,2297,11383,0.768771929824561,0.579877738155884,0.832090643274854,0.683458420894626,0.258364661654135,0.167909356725146
random,0.3,0,Perfect-NoNoise,2,Circular,Static Phase 1+2,19774,12146,631,13049,0.719802631578947,0.517920222266323,0.953874269005848,0.671331189710611,0.380513784461153,0.046125730994152
random,0.3,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1,22521,9399,772,12908,0.776951754385965,0.578652440937822,0.943567251461988,0.717370161447189,0.294454887218045,0.0564327485380117
random,0.3,0,Perfect-NoNoise,2,Circular,SAC Dynamic Phase 1+2,21287,10633,242,13438,0.761513157894737,0.558265132316896,0.982309941520468,0.711928160843421,0.333114035087719,0.0176900584795322
random,0.3,1,Open,0,Horizontal,Static Phase 1,18641,13279,2293,11387,0.658508771929825,0.461647612097624,0.832383040935673,0.593908099932196,0.416008771929825,0.167616959064327
random,0.3,1,Open,0,Horizontal,Static Phase 1+2,5379,26541,1124,12556,0.393311403508772,0.321149960355014,0.917836257309942,0.475813327775357,0.831484962406015,0.0821637426900585
random,0.3,1,Open,0,Horizontal,SAC Dynamic Phase 1,19135,12785,2430,11250,0.666337719298246,0.468067401705846,0.822368421052632,0.596579610234655,0.400532581453634,0.177631578947368
random,0.3,1,Open,0,Horizontal,SAC Dynamic Phase 1+2,5414,26506,1161,12519,0.393267543859649,0.320794362588085,0.915131578947368,0.475059292287259,0.830388471177945,0.0848684210526316
random,0.3,1,Open,1,Random-Matrix,Static Phase 1,22583,9337,2067,11613,0.749912280701754,0.554319809069212,0.84890350877193,0.670690153046491,0.292512531328321,0.15109649122807
random,0.3,1,Open,1,Random-Matrix,Static Phase 1+2,7122,24798,813,12867,0.438355263157895,0.341616885702907,0.940570175438596,0.501197779725387,0.77687969924812,0.0594298245614035
random,0.3,1,Open,1,Random-Matrix,SAC Dynamic Phase 1,19465,12455,1356,12324,0.697127192982456,0.497356632632471,0.900877192982456,0.640890298759718,0.390194235588972,0.0991228070175439
random,0.3,1,Open,1,Random-Matrix,SAC Dynamic Phase 1+2,5587,26333,563,13117,0.410175438596491,0.332496831432193,0.958845029239766,0.493769998117824,0.824968671679198,0.0411549707602339
random,0.3,1,Open,2,Circular,Static Phase 1,22340,9580,2184,11496,0.742017543859649,0.545454545454545,0.840350877192982,0.661526067441593,0.300125313283208,0.159649122807018
random,0.3,1,Open,2,Circular,Static Phase 1+2,5142,26778,1216,12464,0.38609649122807,0.317618877733041,0.911111111111111,0.471032840784551,0.83890977443609,0.0888888888888889
random,0.3,1,Open,2,Circular,SAC Dynamic Phase 1,19088,12832,1472,12208,0.686315789473684,0.487539936102236,0.892397660818713,0.630578512396694,0.402005012531328,0.107602339181287
random,0.3,1,Open,2,Circular,SAC Dynamic Phase 1+2,5098,26822,965,12715,0.390635964912281,0.321597490957837,0.929459064327485,0.477854820827931,0.840288220551378,0.0705409356725146
random,0.3,2,Suburban,0,Horizontal,Static Phase 1,13880,18040,2095,11585,0.55844298245614,0.391054852320675,0.846856725146199,0.535042142939614,0.56516290726817,0.153143274853801
